URL,label_MiMotor,URLLength_MiMotor,DomainLength_MiMotor,IsDomainIP_MiMotor,TLDLength_MiMotor,NoOfSubDomain_MiMotor,NoOfLettersInURL_MiMotor,NoOfDegitsInURL_MiMotor,NoOfOtherSpecialCharsInURL_MiMotor,LetterRatioInURL_MiMotor,DegitRatioInURL_MiMotor,SpacialCharRatioInURL_MiMotor,NoOfEqualsInURL_MiMotor,NoOfQMarkInURL_MiMotor,NoOfAmpersandInURL_MiMotor,IsHTTPS_MiMotor,HasTitle_Extracted,HasFavicon_Extracted,IsResponsive_Extracted,NoOfiFrame_Extracted,HasDescription_Extracted,HasPasswordField_Extracted,HasSubmitButton_Extracted,HasHiddenFields_Extracted,HasExternalFormSubmit_Extracted,HasCopyrightInfo_Extracted,Status,FILENAME,URLLength_Original,Domain,DomainLength_Original,IsDomainIP_Original,TLD,URLSimilarityIndex,CharContinuationRate,TLDLegitimateProb,URLCharProb,TLDLength_Original,NoOfSubDomain_Original,HasObfuscation,NoOfObfuscatedChar,ObfuscationRatio,NoOfLettersInURL_Original,LetterRatioInURL_Original,NoOfDegitsInURL_Original,DegitRatioInURL_Original,NoOfEqualsInURL_Original,NoOfQMarkInURL_Original,NoOfAmpersandInURL_Original,NoOfOtherSpecialCharsInURL_Original,SpacialCharRatioInURL_Original,IsHTTPS_Original,LineOfCode,LargestLineLength,HasTitle,Title,DomainTitleMatchScore,URLTitleMatchScore,HasFavicon,Robots,IsResponsive,NoOfURLRedirect,NoOfSelfRedirect,HasDescription,NoOfPopup,NoOfiFrame,HasExternalFormSubmit,HasSocialNet,HasSubmitButton,HasHiddenFields,HasPasswordField,Bank,Pay,Crypto,HasCopyrightInfo,NoOfImage,NoOfCSS,NoOfJS,NoOfSelfRef,NoOfEmptyRef,NoOfExternalRef,label_Original
https://www.everystudent.com,1,27.0,20.0,0.0,3.0,1.0,14.0,0.0,1.0,0.519,0.0,0.037,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,Online,166168.txt,27,www.everystudent.com,20,0,com,100.0,1.0,0.5229071,0.058267739,3,1,0,0,0.0,14,0.519,0,0.0,0,0,0,1,0.037,1,544,7862,1,everystudent,100.0,100.0,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,1,25,0,6,87,0,92,1
https://www.historync.org,1,24.0,17.0,0.0,3.0,1.0,11.0,0.0,1.0,0.458,0.0,0.042,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Online,727378.txt,24,www.historync.org,17,0,org,100.0,1.0,0.0799628,0.060974961,3,1,0,0,0.0,11,0.458,0,0.0,0,0,0,1,0.042,1,519,465,1,histync,0.0,0.0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,11,0,0,0,0,1,1
https://www.leathercouncil.org,1,29.0,22.0,0.0,3.0,1.0,16.0,0.0,1.0,0.552,0.0,0.034,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Online,819709.txt,29,www.leathercouncil.org,22,0,org,100.0,1.0,0.0799628,0.065786628,3,1,0,0,0.0,16,0.552,0,0.0,0,0,0,1,0.034,1,941,9152,1,leathercouncil,100.0,100.0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1,1,1,5,0,4,9,0,29,1
https://www.wausauschools.org,1,28.0,21.0,0.0,3.0,1.0,15.0,0.0,1.0,0.536,0.0,0.036,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,Online,802749.txt,28,www.wausauschools.org,21,0,org,100.0,1.0,0.0799628,0.060886093,3,1,0,0,0.0,15,0.536,0,0.0,0,0,0,1,0.036,1,941,13020,1,wausauschools,100.0,100.0,1,0,1,0,0,1,0,4,0,1,1,1,0,0,1,0,0,16,2,6,24,7,32,1
https://www.mtbs3d.com,1,21.0,14.0,0.0,3.0,1.0,7.0,1.0,1.0,0.333,0.048,0.048,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Online,167301.txt,21,www.mtbs3d.com,14,0,com,100.0,0.833333333,0.5229071,0.050209823,3,1,0,0,0.0,7,0.333,1,0.048,0,0,0,1,0.048,1,1064,8047,1,mtbs3d,100.0,100.0,1,1,1,0,0,0,0,2,0,1,1,1,0,0,0,0,1,18,24,30,105,13,105,1
https://www.plantamed.com.br,1,27.0,20.0,0.0,2.0,2.0,13.0,0.0,2.0,0.481,0.0,0.074,0.0,0.0,0.0,1.0,1.0,1.0,0.0,7.0,1.0,0.0,0.0,0.0,1.0,1.0,Online,586221.txt,27,www.plantamed.com.br,20,0,br,100.0,0.769230769,0.0094423,0.060357664,2,2,0,0,0.0,13,0.481,0,0.0,0,0,0,2,0.074,1,215,374,1,plantamedcom,0.0,0.0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,2,0,1,15,0,20,1
https://www.atelierozmoz.be,1,26.0,19.0,0.0,2.0,1.0,13.0,0.0,1.0,0.5,0.0,0.038,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,Online,640682.txt,26,www.atelierozmoz.be,19,0,be,100.0,1.0,0.0033189,0.060233585,2,1,0,0,0.0,13,0.5,0,0.0,0,0,0,1,0.038,1,553,2142,1,atelierozmoz,100.0,100.0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,30,4,3,17,0,10,1
https://www.autotech-co.com,1,26.0,19.0,0.0,3.0,1.0,12.0,0.0,2.0,0.462,0.0,0.077,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,Online,247085.txt,26,www.autotech-co.com,19,0,com,100.0,0.818181818,0.5229071,0.071875249,3,1,0,0,0.0,12,0.462,0,0.0,0,0,0,2,0.077,1,517,8629,1,autotech-,81.81818182,81.81818182,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,13,18,23,0,0,4,1
https://www.mera400.pl,1,21.0,14.0,0.0,2.0,1.0,5.0,3.0,1.0,0.238,0.143,0.048,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,Online,853114.txt,21,www.mera400.pl,14,0,pl,100.0,1.0,0.0069695,0.040506565,2,1,0,0,0.0,5,0.238,3,0.143,0,0,0,1,0.048,1,257,1173,1,mera400,100.0,100.0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,2,0,2,30,0,4,1
https://www.usehammock.com,1,25.0,18.0,0.0,3.0,1.0,12.0,0.0,1.0,0.48,0.0,0.04,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,Online,159634.txt,25,www.usehammock.com,18,0,com,100.0,1.0,0.5229071,0.064351434,3,1,0,0,0.0,12,0.48,0,0.0,0,0,0,1,0.04,1,2015,18184,1,usehammock,100.0,100.0,0,1,1,0,0,1,0,2,0,1,1,1,0,1,1,0,1,32,16,25,64,0,74,1
https://www.sporcle.com,1,22.0,15.0,0.0,3.0,1.0,9.0,0.0,1.0,0.409,0.0,0.045,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Online,23949.txt,22,www.sporcle.com,15,0,com,100.0,1.0,0.5229071,0.069502004,3,1,0,0,0.0,9,0.409,0,0.0,0,0,0,1,0.045,1,3722,57205,1,sporcle,100.0,100.0,0,1,0,1,1,1,0,2,0,1,1,1,0,0,1,0,1,21,13,19,171,0,24,1
